name,human_warm,human_competent,study,n_raters,model_warmth,model_competence,callback_margin
chaudhry mohammad,42.125,59.125,oreopoulos,8,35989.484375,38557.75390625,-0.125
chloe,38.5,31.0,neumark,2,38722.7109375,41500.859375,-0.125
christina,71.0,69.0,neumark,1,38540.67578125,41324.85546875,0.0
chritine,46.5,25.5,neumark,2,37020.171875,39673.890625,-0.25
chrostopher,42.0,65.0,neumark,2,36159.765625,38730.87890625,-0.625
claire kruger,49.97,65.54,nunley,100,37856.66796875,40615.6171875,0.0
cody baker,53.58,61.5,nunley,100,37851.234375,40615.7734375,-0.125
courtney,36.5,83.0,neumark,2,38534.7265625,41320.37890625,-0.25
cynthia,50.5,60.25,neumark,4,38706.60546875,41509.72265625,-0.125
daniel,55.0,65.5,neumark,2,38542.53125,41328.84765625,-0.25
danielle,75.0,58.0,neumark,2,38539.24609375,41322.86328125,-0.25
darius jackson,49.46296296296296,55.851851851851855,gorzig,54,38015.28515625,40789.5859375,-0.25
darnell,51.570048309178745,55.5024154589372,bertrand,207,37009.09375,39694.55078125,-0.25
david,56.0,63.0,neumark,1,38709.875,41509.0546875,-0.375
david schmitt,52.80555555555556,69.47222222222223,widner,36,38366.77734375,41165.859375,0.0
dawn,74.0,51.5,neumark,2,38538.2265625,41312.62890625,-0.125
deandre washington,44.25,47.2,nunley,100,36144.3203125,38774.1015625,-0.125
deborah,42.5,59.5,neumark,2,38710.81640625,41504.59765625,-0.125
debra,46.0,53.5,neumark,4,38706.44921875,41490.73046875,-0.25
dennis,37.5,38.0,neumark,2,38354.52734375,41124.45703125,-0.5
deshawn jefferson,45.4,45.85,nunley,100,36518.03125,39140.05859375,-0.25
diane,50.0,65.0,neumark,1,38710.95703125,41504.40234375,-0.125
donald,12.0,40.0,neumark,1,38511.3359375,41305.67578125,-0.375
dong liu,50.22222222222222,63.22222222222222,oreopoulos,18,37879.890625,40623.48828125,-0.125
donna,57.883495145631066,59.699029126213595,farber,103,38714.15625,41505.47265625,-0.125
donnell,50.396039603960396,48.42574257425743,kline,101,37687.23046875,40409.796875,-0.25
dorothy,70.0,72.0,neumark,1,38720.1796875,41512.7578125,-0.375
dziella lousaper,49.72649572649573,52.82051282051282,jacquemet,117,35179.8671875,37683.0234375,-0.625
ebony,54.43689320388349,52.970873786407765,bertrand,206,38365.27734375,41146.3984375,-0.25
ebony booker,49.16,49.73,nunley,100,37860.28125,40615.10546875,0.0
ebony williams,61.76470588235294,60.88235294117647,jacquemet,51,38032.703125,40800.93359375,-0.125
edona sanastroug,40.53191489361702,45.702127659574465,jacquemet,47,35205.61328125,37694.84375,-0.5
edona sanatroug,58.22222222222222,65.47619047619048,jacquemet,63,35385.09765625,37878.7265625,-0.25
edward,57.666666666666664,73.33333333333333,neumark,3,38359.9140625,41133.18359375,-0.25
emily,65.25242718446601,65.37378640776699,bertrand,206,38907.0859375,41700.765625,-0.25
emily brown,76.28571428571429,70.42857142857143,oreopoulos,14,38560.515625,41347.25390625,-0.125
emma,77.66666666666667,68.33333333333333,neumark,3,38734.08984375,41509.4921875,0.0
eric wang,52.46153846153846,80.3076923076923,oreopoulos,13,38046.87890625,40815.01953125,-0.25
erin,64.1980198019802,63.0,kline,101,38559.25,41330.48046875,-0.375
ethan,30.333333333333332,68.0,neumark,3,38540.98828125,41336.328125,-0.25
fang wang,53.5,62.25,oreopoulos,12,38034.84375,40809.44921875,-0.125
fathia hassan,44.67307692307692,43.42307692307692,gorzig,52,36194.62890625,38793.890625,-0.125
fatima sheikh,53.666666666666664,42.888888888888886,oreopoulos,9,37882.8671875,40627.84375,-0.25
frank,37.166666666666664,51.333333333333336,neumark,6,38701.2109375,41493.10546875,-0.375
gadarine besnik,49.26086956521739,57.02608695652174,jacquemet,115,35858.69921875,38422.77734375,-0.375
geoffrey,51.48309178743961,62.468599033816425,bertrand,207,38358.16796875,41124.56640625,-0.375
george,50.0,54.0,neumark,1,38705.21484375,41492.32421875,-0.375
greg,56.07281553398058,62.786407766990294,bertrand,206,38545.53125,41320.1796875,-0.25
greg johnson,70.71428571428571,78.42857142857143,oreopoulos,14,38370.375,41151.9921875,-0.25
hakim,48.02926829268293,53.89756097560976,bertrand,205,38206.234375,40962.4375,-0.25
hannah,76.0,72.0,neumark,2,38731.62109375,41517.515625,-0.125
hassan khan,45.22222222222222,55.333333333333336,oreopoulos,9,38190.11328125,40967.8359375,-0.25
heather,61.320197044334975,58.08866995073892,farber,203,38531.8984375,41319.125,-0.25
hina chaudhry,48.666666666666664,56.22222222222222,oreopoulos,9,35333.37890625,37863.56640625,0.0
imani williams,55.170731707317074,51.09756097560975,gorzig,41,37884.9375,40625.79296875,0.125
isabella,55.5,59.5,neumark,2,38715.76171875,41518.88671875,-0.125
jack li,51.1875,73.5,oreopoulos,16,38213.53125,40981.15625,-0.25
jacob,59.1747572815534,64.47572815533981,kline,103,38532.3984375,41324.69921875,-0.125
jacob myers,54.61702127659574,66.70212765957447,gorzig,47,38015.51171875,40791.40625,-0.125
jake kelly,51.22,63.91,nunley,100,38209.84375,40970.21875,-0.375
jalen harris,56.093023255813954,55.372093023255815,gorzig,43,36854.9921875,39516.04296875,-0.25
jamal,50.136585365853655,52.951219512195124,bertrand,205,38361.109375,41143.53125,-0.25
james liu,60.111111111111114,73.16666666666667,oreopoulos,18,38373.90625,41156.51953125,0.0
james yoder,64.37209302325581,73.5813953488372,widner,43,37350.21875,40060.3984375,-0.125
janet,75.0,73.0,neumark,1,38712.12890625,41498.0078125,-0.125
janice,48.08,57.77,farber,100,38710.390625,41502.0,-0.125
jasmine washington,64.27619047619048,62.63809523809524,jacquemet,105,38023.37109375,40787.6640625,0.0
jason,58.53398058252427,66.24271844660194,kline,103,38703.3125,41505.453125,-0.125
jay,55.34466019417476,60.239024390243905,bertrand,206,38363.55078125,41126.16015625,-0.125
jeffrey,46.0,26.0,neumark,1,38526.609375,41311.59375,-0.25
jennifer,63.377450980392155,59.8235294117647,farber,204,38710.921875,41508.41015625,0.0
jennifer li,52.38461538461539,65.46153846153847,oreopoulos,13,38217.453125,40980.84765625,0.0
jeremy,58.198019801980195,63.0,kline,101,38529.1171875,41321.15234375,-0.375
jermaine,51.271844660194176,53.63592233009709,bertrand,206,37684.06640625,40411.67578125,-0.375
jerry,57.5,42.5,neumark,2,38712.52734375,41497.73828125,-0.25
jill,59.11057692307692,61.05769230769231,bertrand,208,38717.8125,41500.26171875,-0.25
jill wilson,61.93333333333333,69.93333333333334,oreopoulos,15,38035.79296875,40785.2578125,-0.125
jilue,52.5,46.0,neumark,2,36166.36328125,38756.3203125,-0.25
joan,53.48514851485149,62.75247524752475,farber,101,38536.15625,41316.4296875,-0.125
john,44.0,28.0,neumark,1,39045.5078125,41862.5390625,-0.25
john martin,63.833333333333336,80.25,oreopoulos,12,38541.04296875,41327.9921875,0.0
john mueller,55.275,71.65,widner,40,38366.41015625,41158.20703125,0.0
jonathan,63.5,54.5,neumark,4,38535.76171875,41325.0078125,-0.125
jonathon,67.0,65.0,neumark,1,38024.8203125,40763.7578125,-0.375
joseph,42.5,37.5,neumark,2,38529.6015625,41312.5,-0.125
joshua,62.490196078431374,66.46078431372548,kline,102,38365.2890625,41147.64453125,-0.25
joyce,54.0,65.0,neumark,1,38374.81640625,41143.078125,0.0
judith,25.0,65.0,neumark,1,38537.59765625,41324.88671875,0.0
judy,24.0,16.0,neumark,1,38714.41796875,41505.93359375,-0.125
julie,68.30392156862744,62.21568627450981,kline,102,38727.55859375,41509.5,-0.125
justin,61.02884615384615,63.25,kline,104,38370.52734375,41143.109375,-0.125
kareem,51.092233009708735,54.49029126213592,bertrand,206,37874.96484375,40597.13671875,-0.125
karen,40.0,35.0,neumark,1,38820.9375,41656.44921875,-0.25
kayla,86.0,84.0,neumark,1,38540.95703125,41322.125,0.0
keisha,53.43961352657005,51.792270531400966,bertrand,207,37548.53515625,40243.48828125,-0.25
kenneth,68.75,56.5,neumark,4,38356.51953125,41133.36328125,-0.375
kenya,57.17560975609756,55.64390243902439,bertrand,205,37849.109375,40590.83984375,-0.125
kevin,61.0,21.0,neumark,1,38701.4609375,41500.64453125,-0.375
khalid bahdoon,33.148936170212764,40.851063829787236,gorzig,47,36338.19921875,38953.73046875,-0.25
kimberely,49.333333333333336,62.0,neumark,3,37508.63671875,40211.53125,-0.125
kimberley,60.0,60.0,neumark,1,38197.51953125,40949.171875,0.0
kimberly,40.0,38.0,neumark,1,38532.66015625,41318.84765625,-0.125
kristen,62.4,62.0,bertrand,205,38371.66015625,41142.16796875,-0.375
kristen smith,69.78846153846153,65.78846153846153,jacquemet,52,38032.328125,40790.86328125,-0.25
kyle,58.5,58.5,neumark,2,38532.62890625,41312.078125,-0.125
kyler,82.0,33.0,neumark,2,37015.6328125,39686.93359375,-0.25
lakeisha,44.53465346534654,40.31683168316832,kline,101,38018.484375,40760.10546875,-0.375
lakesha,45.71287128712871,42.12,kline,101,37687.6796875,40397.875,-0.375
lakisha,51.88405797101449,49.60386473429951,bertrand,207,37503.26171875,40192.40234375,-0.25
lakisha jones,49.88,45.32,jacquemet,50,37165.109375,39837.61328125,-0.25
lamar,46.51,47.45,kline,100,37995.91015625,40760.72265625,-0.25
lamont,46.45544554455446,48.06930693069307,kline,101,38006.44921875,40760.15234375,-0.375
larry,50.0,63.5,neumark,2,38709.40234375,41486.98046875,-0.125
lashonda,46.12871287128713,42.91089108910891,kline,101,37530.54296875,40231.1796875,-0.25
latasha,46.118811881188115,42.257425742574256,kline,101,37206.44140625,39887.23046875,-0.125
latisha,44.584158415841586,42.68,kline,101,37193.890625,39871.2578125,-0.25
latonya,52.41545893719807,49.44927536231884,bertrand,207,37191.46484375,39873.08984375,-0.125
latoya,52.453658536585365,52.88292682926829,bertrand,205,37366.625,40057.4921875,-0.125
latoya brown,58.2,55.2,jacquemet,40,37195.59765625,39887.484375,-0.125
lauren,62.80392156862745,60.38235294117647,farber,102,38551.80859375,41340.11328125,-0.125
laurie,62.48543689320388,62.51456310679612,bertrand,206,38207.69921875,40959.84765625,-0.25
laurie anderson,68.0,69.22,jacquemet,50,37369.83984375,40078.33203125,0.0
lawanda,45.06930693069307,40.475247524752476,kline,101,37370.48828125,40062.1171875,-0.125
lei li,64.66666666666667,76.88888888888889,oreopoulos,18,37521.08984375,40244.703125,-0.125
leroy,52.78536585365854,55.673170731707316,bertrand,205,38533.12109375,41315.47265625,-0.375
linda,55.10679611650485,64.03883495145631,farber,103,38709.4140625,41500.05078125,-0.125
lisa,54.0,53.666666666666664,neumark,3,38887.8046875,41685.01953125,-0.125
lori,63.42574257425743,59.495049504950494,kline,101,38375.96484375,41142.0546875,-0.125
lucas peterson,59.8,73.25,gorzig,60,38013.2734375,40795.51171875,0.0
lukas minsopoulos,58.8,67.4,oreopoulos,10,35993.734375,38610.03515625,-0.25
mack,61.5,61.0,neumark,2,37850.390625,40584.05078125,-0.25
mamuud irshad,36.14545454545455,46.70909090909091,widner,55,36033.01953125,38599.9765625,-0.375
margaret,45.0,78.0,neumark,1,38711.27734375,41501.05859375,-0.25
mark,67.0,73.0,neumark,2,38704.53125,41497.45703125,-0.25
marquis,47.32673267326733,46.7029702970297,kline,101,38008.2890625,40770.2421875,-0.375
mary,66.05940594059406,63.663366336633665,farber,101,38878.4609375,41686.38671875,-0.25
matthew,58.39613526570049,66.44444444444444,bertrand,207,38537.25390625,41318.79296875,0.0
matthew wilson,69.42857142857143,74.57142857142857,oreopoulos,14,38201.1484375,40974.69140625,0.0
maurice,52.0,52.68316831683168,kline,101,38186.5546875,40951.7578125,-0.375
may,46.0,56.5,neumark,2,37691.4296875,40406.8359375,-0.25
maya kumar,65.9,71.9,oreopoulos,10,38231.234375,40999.44921875,0.0
megan,55.0,71.0,neumark,1,38540.1796875,41319.55078125,-0.125
melissa,87.5,76.5,neumark,2,38540.015625,41323.1796875,-0.125
meredith,63.25728155339806,63.94660194174757,bertrand,206,38370.42578125,41142.4453125,-0.25
meredith miller,64.31372549019608,67.19607843137256,jacquemet,51,38027.84375,40794.84765625,0.0
michael schwartz,51.76086956521739,77.34782608695652,widner,46,38368.9921875,41161.2265625,-0.25
michael smith,76.75,79.625,oreopoulos,8,38533.33984375,41331.8671875,-0.125
michell,15.0,55.0,neumark,1,36841.6640625,39490.921875,-0.375
michelle,37.5,35.0,neumark,2,38542.83984375,41325.3984375,0.125
michelle wang,47.5,67.5,oreopoulos,4,38216.125,40993.47265625,-0.125
min liu,56.75,64.375,oreopoulos,8,37692.78125,40427.66796875,0.0
misty,60.59405940594059,50.663366336633665,kline,101,38541.86328125,41313.19921875,-0.25
monica liu,62.57142857142857,68.71428571428571,oreopoulos,14,38058.2421875,40807.078125,0.125
na li,46.55555555555556,51.666666666666664,oreopoulos,9,37524.15234375,40241.453125,-0.25
nancy,35.0,40.0,neumark,1,38707.1640625,41508.03515625,-0.25
natalie,61.0,49.0,neumark,1,38716.6875,41506.53125,0.0
nathan,61.95049504950495,67.65346534653466,kline,101,38532.32421875,41315.73828125,-0.125
neil,54.448780487804875,65.1029411764706,bertrand,205,38364.33984375,41121.23828125,0.125
nia jackson,59.58620689655172,57.06896551724138,gorzig,58,37881.01171875,40604.37890625,-0.125
nicole minsopoulos,62.357142857142854,64.57142857142857,oreopoulos,14,36347.11328125,38968.296875,-0.125
pamela,29.333333333333332,42.0,neumark,3,38526.19921875,41318.50390625,-0.25
panav singh,42.388888888888886,62.5,oreopoulos,18,37007.640625,39678.71484375,0.0
patrice,55.89108910891089,52.26732673267327,kline,101,38373.05078125,41147.01953125,0.0
patricia,36.0,46.0,neumark,2,38536.81640625,41324.265625,0.0
paul,75.0,74.0,neumark,1,38710.46875,41503.52734375,-0.25
phillips,20.0,17.0,neumark,1,38517.04296875,41305.39453125,-0.25
priyanka kaur,52.77777777777778,61.888888888888886,oreopoulos,9,37715.46484375,40424.76171875,-0.125
qahhar kazim,30.65,45.175,widner,40,36178.90234375,38784.53515625,-0.375
rabab saeed,38.2,54.6,oreopoulos,10,36513.390625,39136.9921875,-0.25
rachel,65.0,60.0,neumark,1,38724.6875,41518.42578125,-0.25
rahul kaur,47.30769230769231,60.61538461538461,oreopoulos,13,37876.83203125,40605.578125,-0.25
rasheed,48.25728155339806,54.922330097087375,bertrand,206,37201.76171875,39880.921875,-0.25
rebecca,64.40196078431373,60.92156862745098,kline,102,38717.7265625,41516.1640625,-0.125
reginald,50.663366336633665,64.0,kline,101,38512.5546875,41299.0859375,-0.25
richard,6.0,4.0,neumark,1,38530.0390625,41325.328125,-0.25
robert,72.0,61.5,neumark,4,38525.73046875,41322.578125,-0.25
robert krueger,46.63414634146341,69.73170731707317,widner,41,37838.3359375,40603.96875,0.0
roderick,48.881188118811885,55.415841584158414,kline,101,37335.421875,40044.546875,-0.375
rose,71.58,62.75,farber,100,38711.9375,41501.31640625,-0.25
ryan,63.333333333333336,66.66666666666667,neumark,3,38714.28125,41505.82421875,-0.25
samantha,47.0,51.0,neumark,1,38721.5078125,41514.06640625,-0.25
samir sharma,48.23076923076923,65.07692307692308,oreopoulos,13,38052.40625,40808.69921875,0.0
sana khan,62.642857142857146,68.57142857142857,oreopoulos,14,37703.609375,40424.484375,-0.125
sandra,80.0,90.0,neumark,1,38540.7734375,41326.69921875,-0.125
sarah,63.504901960784316,65.15686274509804,bertrand,204,39057.171875,41870.33984375,-0.125
sarah davis,66.27083333333333,62.979166666666664,jacquemet,48,38551.9375,41343.59375,0.0
scott,60.6078431372549,66.2843137254902,kline,102,38521.73046875,41313.546875,-0.5
shakir imtiaz,39.34782608695652,43.08695652173913,widner,46,35687.94921875,38248.21875,-0.25
shannon,53.19,57.03,farber,100,38538.5625,41325.0390625,-0.375
sharon,39.0,45.0,neumark,1,38534.9140625,41324.56640625,-0.125
shirley,69.0,48.5,neumark,2,38540.09375,41317.1875,-0.125
shreya sharma,56.42857142857143,62.785714285714285,oreopoulos,14,37231.453125,39910.40625,-0.125
sofiko kushtrim,52.027027027027025,57.846846846846844,jacquemet,111,36050.3515625,38590.44921875,-0.25
steohen,34.0,52.75,neumark,4,36509.96875,39112.4921875,-0.625
stephanie,91.0,76.0,neumark,1,38712.51171875,41510.46484375,-0.125
stephen,55.0,91.0,neumark,1,38541.8203125,41323.734375,-0.25
steven,49.5,44.0,neumark,2,38533.80078125,41321.203125,-0.25
susan,57.90147783251231,60.635467980295566,farber,203,38876.5078125,41677.72265625,0.0
tameka,44.49,43.46,kline,100,36837.71875,39487.0,-0.125
tamika,52.85507246376812,52.20388349514563,bertrand,207,37522.9296875,40224.9609375,-0.25
tammy,50.5,70.5,neumark,2,38527.36328125,41313.33203125,-0.25
tanisha,52.8252427184466,51.019417475728154,bertrand,206,36871.453125,39508.890625,-0.125
tanisha white,54.35294117647059,49.411764705882355,jacquemet,51,36525.98046875,39153.66015625,-0.125
tao wang,44.81818181818182,73.27272727272727,oreopoulos,11,38052.21875,40812.62109375,-0.25
tara singh,64.77777777777777,68.11111111111111,oreopoulos,9,38051.88671875,40797.8203125,-0.125
tawanda,42.663366336633665,40.7029702970297,kline,101,37031.0078125,39685.5546875,-0.125
teresa,49.0,45.0,neumark,1,38538.1015625,41317.49609375,-0.375
terrance,50.23762376237624,52.56435643564357,kline,101,37532.7578125,40233.78125,-0.25
terrell,47.37623762376238,46.42574257425743,kline,101,38032.8671875,40777.703125,-0.25
thomas,74.0,82.0,neumark,1,38532.87890625,41321.8203125,-0.25
timothy,42.0,41.666666666666664,neumark,3,38354.6484375,41128.08984375,-0.375
timoty,40.0,33.0,neumark,1,37843.1640625,40564.078125,-0.625
todd,52.60679611650485,58.80582524271845,bertrand,206,38339.5390625,41112.03125,-0.5
tomeka,43.198019801980195,40.603960396039604,kline,101,37178.1640625,39855.80859375,-0.125
tracy,41.0,45.5,neumark,4,38539.5390625,41322.703125,-0.125
tremayne,48.150485436893206,47.49514563106796,bertrand,206,37195.18359375,39856.47265625,-0.25
tyler,54.0,55.333333333333336,neumark,3,38536.90234375,41319.0390625,-0.375
tyrone,47.35265700483092,50.729468599033815,bertrand,207,38521.03125,41303.828125,-0.375
victoria,70.0,60.0,neumark,1,38714.8203125,41506.94921875,-0.375
vivian zhang,64.16666666666667,74.33333333333333,oreopoulos,6,38039.8125,40806.703125,-0.25
wiliam,71.66666666666667,73.66666666666667,neumark,3,36849.4375,39498.15234375,-0.5
william,49.333333333333336,47.0,neumark,3,38530.34765625,41319.84765625,-0.375
william novak,56.1875,77.58333333333333,widner,48,38013.15625,40794.4296875,-0.125
xavier washington,54.02040816326531,59.285714285714285,gorzig,49,37838.54296875,40608.55859375,0.125
xiuying zhang,53.92857142857143,75.5,oreopoulos,14,36869.63671875,39533.5234375,-0.25
yong zhang,36.44444444444444,63.666666666666664,oreopoulos,9,38034.16796875,40804.9140625,-0.125
zachary,55.75,54.5,neumark,4,38364.484375,41144.2890625,-0.375
